epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,5772.89,0.78952,0.94364,1.19386,0.41712,0.46255,0.3655,0.28051,1.22445,1.79844,1.60036,0.000198091,0.000198091,0.000198091
85,5840.35,0.7963,0.94091,1.19479,0.4222,0.47884,0.36619,0.27768,1.2296,1.82666,1.60911,0.000187092,0.000187092,0.000187092
86,5906.53,0.80156,0.94417,1.19802,0.42653,0.47365,0.36872,0.27973,1.21997,1.80875,1.59238,0.000176094,0.000176094,0.000176094
87,5975.36,0.79069,0.93393,1.19183,0.41756,0.47589,0.37152,0.28295,1.22959,1.81004,1.60669,0.000165095,0.000165095,0.000165095
88,6043.45,0.79711,0.94103,1.20098,0.42664,0.4624,0.37155,0.28507,1.22575,1.81422,1.60031,0.000154096,0.000154096,0.000154096
89,6109.21,0.79047,0.93875,1.19645,0.42269,0.46818,0.37558,0.28653,1.23059,1.80418,1.60704,0.000143097,0.000143097,0.000143097
90,6176.27,0.79658,0.94094,1.19826,0.41051,0.47941,0.37058,0.28238,1.22507,1.81767,1.59972,0.000132098,0.000132098,0.000132098
91,6248.56,0.80712,0.92481,1.22096,0.42825,0.47636,0.37979,0.28962,1.21414,1.79868,1.58639,0.000121099,0.000121099,0.000121099
92,6314.59,0.7872,0.90439,1.20731,0.44331,0.46457,0.37836,0.28873,1.2067,1.77801,1.58557,0.0001101,0.0001101,0.0001101
93,6381.44,0.77529,0.88922,1.20275,0.43834,0.46244,0.37678,0.28702,1.20944,1.79224,1.59382,9.91012e-05,9.91012e-05,9.91012e-05
94,6449.97,0.77096,0.88552,1.19353,0.42584,0.47353,0.3776,0.28897,1.20468,1.7854,1.59288,8.81023e-05,8.81023e-05,8.81023e-05
95,6516.47,0.75867,0.8711,1.191,0.44955,0.45938,0.37924,0.28965,1.21239,1.7904,1.59628,7.71034e-05,7.71034e-05,7.71034e-05
96,6582.65,0.76119,0.87535,1.19103,0.44314,0.45974,0.37773,0.29107,1.20508,1.79227,1.59295,6.61045e-05,6.61045e-05,6.61045e-05
97,6649.23,0.75502,0.87046,1.18348,0.43061,0.48568,0.37972,0.29299,1.20139,1.79378,1.5886,5.51056e-05,5.51056e-05,5.51056e-05
98,6715.76,0.75388,0.87391,1.18339,0.43625,0.47603,0.38074,0.29386,1.19994,1.80074,1.58644,4.41067e-05,4.41067e-05,4.41067e-05
99,6780.88,0.75159,0.86696,1.18384,0.4315,0.47827,0.38004,0.29329,1.20264,1.79394,1.5961,3.31078e-05,3.31078e-05,3.31078e-05
100,6846.25,0.73999,0.86291,1.17428,0.4381,0.47408,0.3811,0.29483,1.19857,1.79086,1.59014,2.21089e-05,2.21089e-05,2.21089e-05
